시도,시군구,월,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,01월,98,2,159,39,95,25
서울,종로구,02월,71,2,96,26,65,5
서울,종로구,03월,99,1,140,38,83,19
서울,종로구,04월,113,1,166,30,114,22
서울,종로구,05월,116,0,146,35,90,21
서울,종로구,06월,114,0,152,39,91,22
서울,종로구,07월,87,2,141,30,89,22
서울,종로구,08월,81,0,119,26,74,19
서울,종로구,09월,112,1,155,25,113,17
서울,종로구,10월,94,0,145,32,95,18
서울,종로구,11월,97,2,115,25,80,10
서울,종로구,12월,108,2,155,30,108,17
서울,중구,01월,96,0,133,30,85,18
서울,중구,02월,103,0,147,38,92,17
서울,중구,03월,110,1,134,43,79,12
서울,중구,04월,89,0,132,34,76,22
서울,중구,05월,111,0,142,29,91,22
서울,중구,06월,108,2,151,41,96,14
서울,중구,07월,109,0,141,30,95,16
서울,중구,08월,96,0,140,33,91,16
서울,중구,09월,101,1,131,43,77,11
서울,중구,10월,105,0,129,40,82,7
서울,중구,11월,124,0,167,33,112,22
서울,중구,12월,100,0,137,35,86,16
서울,용산구,01월,109,0,169,29,125,15
서울,용산구,02월,89,0,122,25,93,4
서울,용산구,03월,89,0,135,24,102,9
서울,용산구,04월,111,0,153,25,117,11
서울,용산구,05월,117,1,161,51,96,14
서울,용산구,06월,103,4,135,33,92,10
서울,용산구,07월,101,2,157,40,106,11
서울,용산구,08월,112,0,155,29,115,11
서울,용산구,09월,134,1,189,39,135,15
서울,용산구,10월,150,1,216,38,159,19
서울,용산구,11월,102,2,157,22,125,10
서울,용산구,12월,120,1,200,46,137,17
서울,성동구,01월,83,2,117,28,74,15
서울,성동구,02월,75,1,121,24,82,15
서울,성동구,03월,80,2,102,29,59,14
서울,성동구,04월,101,0,141,35,82,24
서울,성동구,05월,83,2,110,25,69,16
서울,성동구,06월,98,0,141,38,80,23
서울,성동구,07월,102,1,140,27,100,13
서울,성동구,08월,84,2,115,22,85,8
서울,성동구,09월,104,2,145,34,92,19
서울,성동구,10월,87,0,113,26,75,12
서울,성동구,11월,92,2,127,24,92,11
서울,성동구,12월,87,1,129,32,86,11
서울,동대문구,01월,156,1,218,64,136,18
서울,동대문구,02월,127,3,160,45,104,11
서울,동대문구,03월,144,1,181,50,116,15
서울,동대문구,04월,144,0,165,43,110,12
서울,동대문구,05월,118,0,145,49,84,12
서울,동대문구,06월,142,0,166,45,110,11
서울,동대문구,07월,154,1,205,53,142,10
서울,동대문구,08월,149,7,172,56,110,6
서울,동대문구,09월,147,1,182,46,123,13
서울,동대문구,10월,143,5,179,40,122,17
서울,동대문구,11월,144,2,173,42,120,11
서울,동대문구,12월,150,4,193,52,131,10
서울,성북구,01월,127,1,184,53,123,8
서울,성북구,02월,100,1,116,25,80,11
서울,성북구,03월,109,0,151,32,115,4
서울,성북구,04월,134,1,186,44,130,12
서울,성북구,05월,131,3,175,39,130,6
서울,성북구,06월,136,0,180,45,122,13
서울,성북구,07월,131,1,178,36,127,15
서울,성북구,08월,124,2,157,33,109,15
서울,성북구,09월,148,3,182,45,124,13
서울,성북구,10월,113,2,142,37,97,8
서울,성북구,11월,173,2,240,39,186,15
서울,성북구,12월,131,1,177,34,134,9
서울,도봉구,01월,72,0,107,25,71,11
서울,도봉구,02월,70,2,95,23,62,10
서울,도봉구,03월,62,1,84,21,55,8
서울,도봉구,04월,83,1,104,24,67,13
서울,도봉구,05월,81,1,92,21,55,16
서울,도봉구,06월,66,1,87,26,46,15
서울,도봉구,07월,94,2,129,33,81,15
서울,도봉구,08월,81,0,101,29,61,11
서울,도봉구,09월,88,0,119,31,71,17
서울,도봉구,10월,73,1,98,28,60,10
서울,도봉구,11월,108,0,128,32,86,10
서울,도봉구,12월,66,0,95,23,67,5
서울,은평구,01월,74,1,125,23,91,11
서울,은평구,02월,64,1,92,19,68,5
서울,은평구,03월,88,0,113,27,75,11
서울,은평구,04월,89,0,141,30,91,20
서울,은평구,05월,95,1,128,23,94,11
서울,은평구,06월,74,0,108,23,79,6
서울,은평구,07월,104,3,125,35,80,10
서울,은평구,08월,89,0,115,25,73,17
서울,은평구,09월,94,0,114,34,76,4
서울,은평구,10월,94,2,157,27,101,29
서울,은평구,11월,116,2,163,39,112,12
서울,은평구,12월,86,2,108,32,69,7
서울,서대문구,01월,90,1,130,29,93,8
서울,서대문구,02월,72,0,91,14,63,14
서울,서대문구,03월,86,2,112,31,71,10
서울,서대문구,04월,93,0,122,28,81,13
서울,서대문구,05월,102,0,143,34,85,24
서울,서대문구,06월,91,1,124,28,85,11
서울,서대문구,07월,85,1,133,20,96,17
서울,서대문구,08월,92,0,124,33,68,23
서울,서대문구,09월,96,0,120,32,77,11
서울,서대문구,10월,80,3,143,27,90,26
서울,서대문구,11월,72,0,95,26,60,9
서울,서대문구,12월,73,0,93,29,54,10
서울,마포구,01월,170,1,260,48,196,16
서울,마포구,02월,155,0,247,44,181,22
서울,마포구,03월,141,3,198,40,143,15
서울,마포구,04월,138,1,208,43,144,21
서울,마포구,05월,165,1,257,52,189,16
서울,마포구,06월,163,1,241,53,167,21
서울,마포구,07월,176,0,274,43,211,20
서울,마포구,08월,168,0,235,46,171,18
서울,마포구,09월,141,0,226,50,163,13
서울,마포구,10월,152,1,219,37,171,11
서울,마포구,11월,136,0,205,35,151,19
서울,마포구,12월,154,0,223,36,170,17
서울,강서구,01월,155,1,237,49,176,12
서울,강서구,02월,112,1,154,38,107,9
서울,강서구,03월,140,1,174,51,109,14
서울,강서구,04월,146,0,201,33,154,14
서울,강서구,05월,121,0,156,35,106,15
서울,강서구,06월,147,3,183,49,125,9
서울,강서구,07월,136,1,192,40,135,17
서울,강서구,08월,129,2,189,54,120,15
서울,강서구,09월,128,2,166,45,112,9
서울,강서구,10월,137,0,195,37,133,25
서울,강서구,11월,114,0,159,44,110,5
서울,강서구,12월,119,1,149,43,90,16
서울,구로구,01월,119,0,173,48,110,15
서울,구로구,02월,91,0,134,40,86,8
서울,구로구,03월,103,0,150,35,110,5
서울,구로구,04월,111,0,144,40,91,13
서울,구로구,05월,118,2,160,51,89,20
서울,구로구,06월,111,1,145,37,104,4
서울,구로구,07월,127,1,174,39,123,12
서울,구로구,08월,111,1,151,31,115,5
서울,구로구,09월,157,2,218,43,154,21
서울,구로구,10월,134,1,172,39,118,15
서울,구로구,11월,137,3,177,41,120,16
서울,구로구,12월,114,1,162,38,110,14
서울,영등포구,01월,175,3,269,52,187,30
서울,영등포구,02월,186,0,283,57,201,25
서울,영등포구,03월,197,2,285,51,207,27
서울,영등포구,04월,185,4,248,52,164,32
서울,영등포구,05월,209,0,354,77,242,35
서울,영등포구,06월,195,3,264,47,196,21
서울,영등포구,07월,181,2,255,40,179,36
서울,영등포구,08월,217,1,309,58,213,38
서울,영등포구,09월,214,3,312,57,220,35
서울,영등포구,10월,197,1,284,72,183,29
서울,영등포구,11월,237,3,332,63,230,39
서울,영등포구,12월,193,0,324,60,230,34
서울,동작구,01월,126,2,196,39,140,17
서울,동작구,02월,121,2,177,35,127,15
서울,동작구,03월,111,0,164,32,114,18
서울,동작구,04월,114,1,163,32,110,21
서울,동작구,05월,93,3,143,38,90,15
서울,동작구,06월,114,2,194,40,137,17
서울,동작구,07월,116,0,162,46,108,8
서울,동작구,08월,123,1,182,32,136,14
서울,동작구,09월,119,1,174,36,119,19
서울,동작구,10월,108,3,145,34,94,17
서울,동작구,11월,127,2,167,38,104,25
서울,동작구,12월,137,3,176,24,129,23
서울,관악구,01월,105,3,136,30,92,14
서울,관악구,02월,92,1,123,26,94,3
서울,관악구,03월,115,2,157,39,101,17
서울,관악구,04월,101,0,131,22,93,16
서울,관악구,05월,108,0,151,29,109,13
서울,관악구,06월,103,0,141,28,99,14
서울,관악구,07월,116,0,149,33,100,16
서울,관악구,08월,121,0,163,42,109,12
서울,관악구,09월,106,1,130,33,88,9
서울,관악구,10월,93,0,133,36,80,17
서울,관악구,11월,115,1,144,37,95,12
서울,관악구,12월,76,3,101,26,57,18
서울,강남구,01월,302,2,464,81,326,57
서울,강남구,02월,256,1,366,57,273,36
서울,강남구,03월,296,3,433,87,306,40
서울,강남구,04월,275,1,388,79,269,40
서울,강남구,05월,281,1,405,80,284,41
서울,강남구,06월,299,2,423,92,286,45
서울,강남구,07월,296,0,423,65,322,36
서울,강남구,08월,287,1,401,75,289,37
서울,강남구,09월,282,5,390,75,278,37
서울,강남구,10월,270,2,387,92,262,33
서울,강남구,11월,302,1,410,93,289,28
서울,강남구,12월,323,0,469,99,346,24
서울,강동구,01월,105,0,138,42,85,11
